name,description,price
Laptop,High-performance laptop for office and gaming,111.84
Smartphone,Latest model with high-resolution display,45.6
Wireless Earbuds,Noise-canceling with long battery life,269.68
Bluetooth Speaker,Portable speaker with deep bass,982.25
LED TV,4K Ultra HD Smart TV with HDR,243.64
Gaming Console,Next-gen gaming console with ray tracing,418.86
External Hard Drive,2TB external hard drive for backups,992.86
USB Flash Drive,High-speed USB 3.0 flash drive,608.48
Mechanical Keyboard,RGB backlit mechanical keyboard,422.11
Gaming Mouse,Ergonomic gaming mouse with high DPI,167.24
Wireless Router,Dual-band wireless router with fast speeds,965.59
Smartwatch,Fitness tracker with heart rate monitoring,692.9
Noise-Canceling Headphones,Over-ear headphones with ANC,294.03
Portable Power Bank,"10,000mAh power bank for charging on the go",477.22
Electric Toothbrush,Rechargeable toothbrush with multiple modes,874.74
Air Purifier,HEPA filter air purifier for clean air,852.49
Robotic Vacuum,Smart vacuum with app control and mapping,361.52
Smart Home Hub,Voice-controlled hub for smart devices,281.73
Streaming Stick,4K streaming device with voice remote,391.46
Digital Camera,DSLR camera with high-resolution lens,134.07
Tripod,Adjustable tripod for cameras and phones,310.97
Fitness Tracker,Waterproof fitness band with step tracking,479.83
Coffee Maker,Automatic coffee maker with programmable settings,991.23
Espresso Machine,Professional-grade espresso machine,774.83
Blender,High-speed blender for smoothies and soups,832.25
Toaster Oven,Compact toaster oven with multiple settings,755.14
Microwave,Countertop microwave with defrost mode,840.92
Air Fryer,Oil-less air fryer for crispy cooking,239.81
Slow Cooker,Programmable slow cooker for easy meals,575.72
Electric Kettle,Fast boiling electric kettle,26.81
Vacuum Cleaner,Bagless vacuum cleaner with HEPA filter,300.99
Cordless Drill,Rechargeable drill with multiple speeds,359.67
Tool Set,Comprehensive tool set for home repairs,569.94
Pressure Washer,High-pressure washer for deep cleaning,903.25
Lawn Mower,Electric lawn mower with adjustable heights,336.85
LED Light Bulbs,Energy-efficient LED bulbs for home lighting,46.07
Extension Cord,Heavy-duty extension cord for outdoor use,819.58
Surge Protector,6-outlet surge protector with USB ports,942.55
Ceiling Fan,Modern ceiling fan with remote control,985.14
Smart Light Bulbs,Color-changing smart bulbs with app control,77.81
Electric Shaver,Rechargeable electric shaver for men,638.26
Hair Dryer,Ionic hair dryer for fast drying,378.47
Curling Iron,Ceramic curling iron for long-lasting curls,857.61
Hair Straightener,Flat iron with adjustable temperature,343.27
Face Cleanser,Gentle foaming cleanser for all skin types,992.45
Moisturizer,Hydrating moisturizer with SPF protection,151.64
Sunscreen,Broad-spectrum SPF 50 sunscreen,473.75
Shampoo & Conditioner,Nourishing shampoo and conditioner set,346.76
Body Wash,Refreshing body wash with natural ingredients,536.22
Deodorant,Long-lasting deodorant for all-day freshness,347.69
Toothpaste,Whitening toothpaste with fluoride,325.74
Office Chair,Ergonomic office chair with lumbar support,177.84
Standing Desk,Adjustable standing desk for better posture,712.45
Monitor Stand,Height-adjustable stand for monitors,382.1
Ergonomic Keyboard,Comfortable keyboard for long typing sessions,120.25
Office Lamp,LED desk lamp with dimming options,9.08
Filing Cabinet,Lockable filing cabinet for office storage,595.84
Wireless Printer,All-in-one wireless printer and scanner,819.52
Paper Shredder,Cross-cut paper shredder for secure disposal,703.17
Notebook,Lined notebook for notes and journaling,493.91
Pens & Pencils,Assorted set of pens and pencils,306.91
Post-it Notes,Sticky notes for reminders and organization,432.12
Whiteboard,Dry-erase whiteboard for planning,721.04
Backpack,Durable backpack with multiple compartments,111.25
Laptop Sleeve,Protective laptop sleeve for travel,619.74
Messenger Bag,Stylish messenger bag for work,648.57
Duffel Bag,Spacious duffel bag for gym and travel,328.53
Suitcase,Hard-shell suitcase with TSA lock,98.36
Carry-on Luggage,Lightweight carry-on suitcase,364.28
Travel Adapter,Universal travel adapter for global use,697.82
Neck Pillow,Memory foam travel pillow for comfort,804.91
Camping Tent,4-person waterproof camping tent,405.13
Sleeping Bag,Warm and lightweight sleeping bag,313.74
Camping Stove,Portable camping stove for outdoor cooking,489.31
Hiking Boots,Waterproof hiking boots for rugged terrain,879.76
Trekking Poles,Adjustable trekking poles for hiking,819.86
Portable Cooler,Insulated cooler for outdoor activities,969.74
First Aid Kit,Emergency first aid kit with essentials,132.99
Flashlight,Rechargeable LED flashlight,314.87
Batteries,AA and AAA rechargeable batteries,422.85
Solar Charger,Portable solar charger for outdoor use,663.37
Bike Helmet,Adjustable helmet for cycling safety,971.52
Cycling Gloves,Padded gloves for long rides,345.39
Water Bottle,Stainless steel water bottle,562.34
Yoga Mat,Non-slip yoga mat for home workouts,848.4
Dumbbells,Set of adjustable dumbbells,810.69
Resistance Bands,Stretchable bands for strength training,439.44
Jump Rope,Speed jump rope for cardio workouts,5.89
Foam Roller,Massage foam roller for muscle recovery,953.09
Protein Powder,Whey protein for muscle building,229.32
Running Shoes,Lightweight running shoes for training,845.56
